Name,Experience,Hospital,Location,Fees,Summary,Profile Link
Dr. Sushil Deshmukh,Over 25 years,Health Point Polyclinic,"Kothrud, Pune",800,"Specializing in psychiatry, sexology, and addiction treatment.",https://www.healthpointpolyclinic.com
Dr. Archana N. Javadekar,25 years,Shree Clinic,"Karve Nagar, Pune",700,"Focuses on marital counseling, anger management, and de-addiction therapies.",http://www.shreeclinicpune.com
Dr. Amod Borkar,Over 15 years,Mind Wellness Center,"Karve Nagar, Pune",750,Expertise in adolescent psychiatry and mood disorders.,http://www.mindwellnesspune.com
Dr. Neha Patil,10 years,Harmony Healthcare,"Kothrud, Pune",650,Specializes in anxiety disorders and stress management.,https://www.harmonyhealthcarepune.com
Dr. Rajeev Sharma,20 years,Mind Care Clinic,"Kothrud, Pune",900,Focuses on depression and bipolar disorders with modern therapies.,http://www.mindcarepune.com
Dr. Sneha Kulkarni,12 years,Serenity Mind Clinic,"Kothrud, Pune",700,Specializes in child and adolescent psychiatry.,http://www.serenitymindclinic.com
Dr. Amit Gupta,18 years,Tranquil Minds,"Karve Nagar, Pune",850,Expert in psychopharmacology and psychotherapy.,https://www.tranquilmindsclinic.com
Dr. Priya Mehta,14 years,Hope Psychiatry Center,"Kothrud, Pune",750,Focuses on women's mental health issues.,http://www.hopepsychiatry.com
Dr. Rahul Verma,22 years,Peace of Mind Clinic,"Kothrud, Pune",800,Specializes in geriatric psychiatry.,https://www.peaceofmindclinicpune.com
Dr. Kavita Joshi,16 years,Mind Matters Clinic,"Karve Nagar, Pune",700,Experienced in mood disorders and mindfulness therapies.,http://www.mindmattersclinic.com
Dr. Varun Desai,8 years,Inner Peace Clinic,"Kothrud, Pune",600,Focuses on stress-related disorders.,http://www.innerpeacepune.com
Dr. Anjali Rao,11 years,The Mind Space,"Karve Nagar, Pune",650,Specializes in OCD and phobias with CBT.,https://www.themindspacepune.com
Dr. Nishant Kulkarni,19 years,Clear Minds Clinic,"Kothrud, Pune",800,Expert in addiction psychiatry.,http://www.clearmindsclinic.com
Dr. Shreya Patwardhan,9 years,Blissful Mind,"Kothrud, Pune",700,Focuses on trauma-related disorders with EMDR therapy.,https://www.blissfulmindpune.com
